City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hermanus,ZA,65.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
8,Port Elizabeth,ZA,61.11,scattered clouds,-33.918,25.5701,39 On Nile Guest House
12,Cape Town,ZA,66.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Hualmay,PE,70.23,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
19,Lagoa,PT,66.18,overcast clouds,39.05,-27.9833,Casa Das Faias
30,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
34,Constitucion,CL,64.69,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
35,Sirsaganj,IN,64.53,clear sky,27.05,78.7,Hotel Narsingh Plaza
36,Port Alfred,ZA,62.37,overcast clouds,-33.5906,26.891,The Halyards Hotel
45,Lebu,CL,61.43,clear sky,-37.6167,-73.65,Hostal Las Lilas
63,Marsa Matruh,EG,65.86,few clouds,31.3525,27.2453,Beau Site
65,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
71,Ahipara,NZ,61.03,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
73,Lahan,NP,63.5,clear sky,26.7296,86.4951,Bhattarai Residence
76,Arsikere,IN,68.94,clear sky,13.3139,76.2561,KPS Comforts
79,Bengkulu,ID,74.62,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
80,East London,ZA,62.33,scattered clouds,-33.0153,27.9116,Tu Casa
95,Odweyne,SO,66.02,overcast clouds,9.4092,45.064,Eng Hiirey House
96,Tezu,IN,61.38,broken clouds,27.9167,96.1667,Circuit House
97,Ponta Delgada,PT,66.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
100,Gold Coast,AU,71.24,light rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
104,Sawang Daen Din,TH,65.17,few clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
106,Los Llanos De Aridane,ES,65.95,volcanic ash,28.6585,-17.9182,Valle Aridane
118,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
