City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Emporia,US,38.4039,-96.1817,61.52,48,100,20.74,overcast clouds
1,Atuona,PF,-9.8,-139.0333,76.96,81,67,12.06,light rain
2,Busselton,AU,-33.65,115.3333,59.09,74,24,12.35,few clouds
3,Anaco,VE,9.4389,-64.4728,92.16,41,84,8.52,broken clouds
4,Ciudad Guayana,VE,8.3533,-62.6528,90.52,65,98,6.64,overcast clouds
5,Okato,NZ,-39.2,173.8833,51.69,66,27,3.74,scattered clouds
6,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,20,5.75,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.11,61,65,14.74,broken clouds
8,Tiksi,RU,71.6872,128.8694,-16.37,97,49,6.62,scattered clouds
9,Goure,NE,13.9835,10.2704,89.02,13,3,8.3,clear sky
10,Sao Filipe,CV,14.8961,-24.4956,79.66,67,32,2.77,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,76.53,77,100,14.5,light rain
12,Lavrentiya,RU,65.5833,-171.0,-4.31,92,18,8.39,few clouds
13,Prince Rupert,CA,54.3161,-130.3201,42.49,85,90,23.02,moderate rain
14,Bluff,NZ,-46.6,168.3333,48.96,88,92,8.97,overcast clouds
15,Nanortalik,GL,60.1432,-45.2371,37.99,96,100,13.98,moderate rain
16,Abilene,US,32.4487,-99.7331,69.78,65,100,5.99,overcast clouds
17,Kavieng,PG,-2.5744,150.7967,82.6,73,77,12.35,broken clouds
18,Hermanus,ZA,-34.4187,19.2345,72.9,61,1,19.66,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,78.76,71,83,10.87,broken clouds
20,Brookhaven,US,31.5791,-90.4407,63.55,55,45,8.46,scattered clouds
21,Mataura,NZ,-46.1927,168.8643,43.21,98,92,2.66,overcast clouds
22,Cap Malheureux,MU,-19.9842,57.6142,77.49,71,11,1.99,few clouds
23,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,85.8,70,75,2.3,broken clouds
24,Fortuna,US,40.5982,-124.1573,43.36,1,20,8.05,few clouds
25,Tuy Hoa,VN,13.0833,109.3,75.36,90,100,15.12,overcast clouds
26,Albany,US,42.6001,-73.9662,38.64,51,1,7.4,clear sky
27,Antofagasta,CL,-23.65,-70.4,70.21,53,24,9.98,few clouds
